
2.6.32-pe
	9211 3
	9212 3
	9223 8
	9234 4
	9235 8
	9246 12
	9257 10
	9258 9
	9269 22
	9280 12
	9281 14
	9292 21
	9303 18
	9304 20
	9315 33
	9326 21
	9327 22
	9338 49
	9349 25
	9350 29
	9361 47
	9372 25
	9373 29
	9384 58
	9395 14
	9396 23
	9407 53
	9418 24
	9419 18
	9430 48
	9441 21
	9442 16
	9453 49
	9464 19
	9465 18
	9476 16
	9487 9
	9488 12
	9499 16
	9510 6
	9511 7
	9522 9
	9533 2
	9534 4
	9545 8
	9556 1
	9557 2
	9568 8
	9579 3
	9580 7
	9591 12
	9603 4
	9614 7
	9625 4
	9626 5
	9637 2
	9648 3
	9649 1
	9660 4
	9671 1
	9672 3
	9683 3
	9694 2
	9695 4
	9706 5
	9717 3
	9718 3
	9729 3
	9740 2
	9752 3
	9764 1
	9775 2
	9786 1
	9787 1
	9809 1
	9810 1
	9832 1
	9844 1
	9855 1
	9867 1
	9890 2
	10086 1
	10258 1
	11718 1

2.6.38-pe
	0 0
	8625 1
	8636 1
	8637 1
	8648 6
	8659 3
	8671 6
	8682 1
	8683 5
	8694 7
	8705 9
	8706 3
	8717 16
	8728 7
	8729 8
	8740 16
	8751 9
	8752 17
	8763 35
	8774 18
	8775 26
	8786 51
	8797 23
	8798 23
	8809 65
	8820 25
	8821 26
	8832 55
	8843 29
	8844 16
	8855 60
	8866 28
	8867 23
	8878 56
	8889 20
	8890 26
	8901 44
	8912 23
	8913 9
	8924 25
	8935 13
	8936 10
	8947 21
	8958 5
	8959 8
	8970 10
	8981 9
	8982 4
	8993 11
	9004 3
	9005 4
	9016 10
	9028 3
	9039 4
	9050 2
	9051 1
	9062 6
	9073 1
	9074 4
	9085 3
	9096 4
	9097 5
	9108 2
	9120 2
	9131 7
	9142 1
	9143 2
	9154 5
	9165 3
	9166 3
	9177 4
	9188 4
	9200 4
